"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.25,0.269230769230769,0.352380952380952,0.0831501831501832
"2","network_1","network_3",0.433734939759036,0.1,0.462264150943396,0.362264150943396
"3","network_1","network_4",0.419753086419753,0.153846153846154,0.472222222222222,0.318376068376068
"4","network_1","network_5",0.453488372093023,0.25,0.41044776119403,0.16044776119403
"5","network_1","network_6",0.447058823529412,0.2,0.491228070175439,0.291228070175439
"6","network_1","network_7",0.423913043478261,0,0.434108527131783,0.434108527131783
"7","network_1","network_8",0.361904761904762,0,0.368421052631579,0.368421052631579
"8","network_1","network_9",0.454545454545455,0.333333333333333,0.4375,0.104166666666667
"9","network_1","network_10",0.388349514563107,0,0.364238410596026,0.364238410596026
"10","network_1","network_11",0.453488372093023,0,0.450819672131148,0.450819672131148
"11","network_1","network_12",0.428571428571429,0.142857142857143,0.402985074626866,0.260127931769723
"12","network_1","network_13",0.447058823529412,0,0.486486486486487,0.486486486486487
"13","network_1","network_14",0.477777777777778,0,0.5,0.5
"14","network_2","network_3",0.393258426966292,0.214285714285714,0.413793103448276,0.199507389162562
"15","network_2","network_4",0.4,0.25,0.428571428571429,0.178571428571429
"16","network_2","network_5",0.406593406593407,0.333333333333333,0.455172413793103,0.12183908045977
"17","network_2","network_6",0.406593406593407,0.166666666666667,0.456,0.289333333333333
"18","network_2","network_7",0.454545454545455,0,0.478571428571429,0.478571428571429
"19","network_2","network_8",0.396396396396396,0,0.411042944785276,0.411042944785276
"20","network_2","network_9",0.431578947368421,0,0.482014388489209,0.482014388489209
"21","network_2","network_10",0.416666666666667,0,0.407407407407407,0.407407407407407
"22","network_2","network_11",0.419354838709677,0,0.488721804511278,0.488721804511278
"23","network_2","network_12",0.4375,0.111111111111111,0.448275862068966,0.337164750957854
"24","network_2","network_13",0.41304347826087,0,0.442622950819672,0.442622950819672
"25","network_2","network_14",0.443298969072165,0,0.456,0.456
"26","network_3","network_4",0.292307692307692,0.28,0.380434782608696,0.100434782608696
"27","network_3","network_5",0.394736842105263,0.333333333333333,0.3828125,0.0494791666666667
"28","network_3","network_6",0.394736842105263,0.25,0.457943925233645,0.207943925233645
"29","network_3","network_7",0.376470588235294,0.263157894736842,0.40650406504065,0.143346170303808
"30","network_3","network_8",0.302083333333333,0.28,0.333333333333333,0.0533333333333333
"31","network_3","network_9",0.414634146341463,0.222222222222222,0.414634146341463,0.192411924119241
"32","network_3","network_10",0.34375,0.2,0.342465753424658,0.142465753424658
"33","network_3","network_11",0.425,0.2,0.427350427350427,0.227350427350427
"34","network_3","network_12",0.358024691358025,0.269230769230769,0.375,0.105769230769231
"35","network_3","network_13",0.417721518987342,0.166666666666667,0.490740740740741,0.324074074074074
"36","network_3","network_14",0.433734939759036,0.428571428571429,0.486486486486487,0.057915057915058
"37","network_4","network_5",0.417721518987342,0.3125,0.396946564885496,0.0844465648854962
"38","network_4","network_6",0.417721518987342,0.153846153846154,0.477477477477477,0.323631323631324
"39","network_4","network_7",0.376470588235294,0.133333333333333,0.416,0.282666666666667
"40","network_4","network_8",0.309278350515464,0.210526315789474,0.351351351351351,0.140825035561878
"41","network_4","network_9",0.428571428571429,0.0769230769230769,0.424,0.347076923076923
"42","network_4","network_10",0.357142857142857,0,0.351351351351351,0.351351351351351
"43","network_4","network_11",0.439024390243902,0.25,0.446280991735537,0.196280991735537
"44","network_4","network_12",0.388235294117647,0.214285714285714,0.389312977099237,0.175027262813522
"45","network_4","network_13",0.432098765432099,0,0.481818181818182,0.481818181818182
"46","network_4","network_14",0.44047619047619,0,0.495575221238938,0.495575221238938
"47","network_5","network_6",0.274193548387097,0.1875,0.275229357798165,0.0877293577981652
"48","network_5","network_7",0.293333333333333,0.157894736842105,0.447552447552448,0.289657710710342
"49","network_5","network_8",0.238636363636364,0.19047619047619,0.407407407407407,0.216931216931217
"50","network_5","network_9",0.368421052631579,0.277777777777778,0.431654676258993,0.153876898481215
"51","network_5","network_10",0.258823529411765,0.108108108108108,0.414634146341463,0.306526038233355
"52","network_5","network_11",0.4,0.230769230769231,0.439716312056738,0.208947081287507
"53","network_5","network_12",0.315789473684211,0.30952380952381,0.45578231292517,0.146258503401361
"54","network_5","network_13",0.375,0.0909090909090909,0.373015873015873,0.282106782106782
"55","network_5","network_14",0.40506329113924,0,0.392307692307692,0.392307692307692
"56","network_6","network_7",0.302631578947368,0.148148148148148,0.396694214876033,0.248546066727885
"57","network_6","network_8",0.247191011235955,0.258064516129032,0.333333333333333,0.0752688172043011
"58","network_6","network_9",0.36,0.285714285714286,0.394957983193277,0.109243697478992
"59","network_6","network_10",0.275862068965517,0.0416666666666667,0.323943661971831,0.282276995305164
"60","network_6","network_11",0.391891891891892,0.15,0.432203389830508,0.282203389830509
"61","network_6","network_12",0.315789473684211,0.294117647058824,0.365079365079365,0.0709617180205415
"62","network_6","network_13",0.383561643835616,0.1,0.457943925233645,0.357943925233645
"63","network_6","network_14",0.4125,0.125,0.472727272727273,0.347727272727273
"64","network_7","network_8",0.202380952380952,0.234567901234568,0.309352517985612,0.0747846167510436
"65","network_7","network_9",0.353658536585366,0.305555555555556,0.442748091603053,0.137192536047498
"66","network_7","network_10",0.315217391304348,0.230769230769231,0.368421052631579,0.137651821862348
"67","network_7","network_11",0.329113924050633,0.34375,0.438461538461538,0.0947115384615385
"68","network_7","network_12",0.345679012345679,0.323529411764706,0.436619718309859,0.113090306545153
"69","network_7","network_13",0.345679012345679,0.25,0.38655462184874,0.13655462184874
"70","network_7","network_14",0.376470588235294,0.238095238095238,0.401639344262295,0.163544106167057
"71","network_8","network_9",0.263736263736264,0.327272727272727,0.368421052631579,0.0411483253588517
"72","network_8","network_10",0.336633663366337,0.254237288135593,0.454545454545455,0.200308166409861
"73","network_8","network_11",0.279569892473118,0.303030303030303,0.368421052631579,0.0653907496012759
"74","network_8","network_12",0.287234042553192,0.326530612244898,0.411042944785276,0.0845123325403782
"75","network_8","network_13",0.294736842105263,0.166666666666667,0.323943661971831,0.157276995305164
"76","network_8","network_14",0.309278350515464,0.304347826086957,0.337931034482759,0.0335832083958021
"77","network_9","network_10",0.192307692307692,0.164179104477612,0.283582089552239,0.119402985074627
"78","network_9","network_11",0.351351351351351,0.28125,0.428571428571429,0.147321428571429
"79","network_9","network_12",0.358024691358025,0.289473684210526,0.420289855072464,0.130816170861937
"80","network_9","network_13",0.342465753424658,0.217391304347826,0.379310344827586,0.16191904047976
"81","network_9","network_14",0.368421052631579,0.285714285714286,0.384615384615385,0.0989010989010989
"82","network_10","network_11",0.292134831460674,0.28125,0.368421052631579,0.0871710526315789
"83","network_10","network_12",0.3,0.313725490196078,0.418181818181818,0.10445632798574
"84","network_10","network_13",0.267441860465116,0.1875,0.314285714285714,0.126785714285714
"85","network_10","network_14",0.267441860465116,0.243243243243243,0.314285714285714,0.071042471042471
"86","network_11","network_12",0.223880597014925,0.25,0.310344827586207,0.0603448275862069
"87","network_11","network_13",0.36231884057971,0.346153846153846,0.412280701754386,0.0661268556005398
"88","network_11","network_14",0.364864864864865,0.259259259259259,0.412280701754386,0.153021442495127
"89","network_12","network_13",0.287671232876712,0.225806451612903,0.344262295081967,0.118455843469064
"90","network_12","network_14",0.358024691358025,0.275862068965517,0.354838709677419,0.0789766407119021
"91","network_13","network_14",0.276923076923077,0.175,0.352272727272727,0.177272727272727
