"","i","j","S","OS","WN","ST"
"1","network_1","network_2",21.5,16,42.5,26.5
"2","network_1","network_3",36.5,2,50,48
"3","network_1","network_4",34.5,3.5,51,47.5
"4","network_1","network_5",40,1,66,65
"5","network_1","network_6",39,2,56.5,54.5
"6","network_1","network_7",42,1.5,64,62.5
"7","network_1","network_8",48,2.5,75.5,73
"8","network_1","network_9",40.5,1,63.5,62.5
"9","network_1","network_10",48,0.5,74.5,74
"10","network_1","network_11",40.5,0.5,60,59.5
"11","network_1","network_12",41.5,2,65.5,63.5
"12","network_1","network_13",41,1,55.5,54.5
"13","network_1","network_14",43,1.5,57,55.5
"14","network_2","network_3",39,3.5,54.5,51
"15","network_2","network_4",40,3,56.5,53.5
"16","network_2","network_5",41.5,2,71.5,69.5
"17","network_2","network_6",41.5,2.5,62,59.5
"18","network_2","network_7",45.5,2.5,69.5,67
"19","network_2","network_8",50.5,3.5,81,77.5
"20","network_2","network_9",44,1,69,68
"21","network_2","network_10",49.5,2,80,78
"22","network_2","network_11",44,0.5,65.5,65
"23","network_2","network_12",43,3,71,68
"24","network_2","network_13",44.5,1,61,60
"25","network_2","network_14",46.5,1.5,62.5,61
"26","network_3","network_4",19,15,36,21
"27","network_3","network_5",30.5,9,61,52
"28","network_3","network_6",30.5,7,50.5,43.5
"29","network_3","network_7",35.5,7,59,52
"30","network_3","network_8",39.5,9,68.5,59.5
"31","network_3","network_9",35,7,59.5,52.5
"32","network_3","network_10",41.5,5,70.5,65.5
"33","network_3","network_11",35,2.5,56,53.5
"34","network_3","network_12",32,9.5,60.5,51
"35","network_3","network_13",35.5,2.5,53.5,51
"36","network_3","network_14",36.5,3,55,52
"37","network_4","network_5",33.5,5.5,63,57.5
"38","network_4","network_6",33.5,4.5,53.5,49
"39","network_4","network_7",35.5,5,60,55
"40","network_4","network_8",40.5,7,71.5,64.5
"41","network_4","network_9",37,4.5,60.5,56
"42","network_4","network_10",43.5,2.5,71.5,69
"43","network_4","network_11",37,2.5,59,56.5
"44","network_4","network_12",36,4,62.5,58.5
"45","network_4","network_13",37.5,0.5,54.5,54
"46","network_4","network_14",37.5,2.5,56,53.5
"47","network_5","network_6",17,18,40.5,22.5
"48","network_5","network_7",26,14.5,67,52.5
"49","network_5","network_8",32,14.5,74.5,60
"50","network_5","network_9",29.5,12,63.5,51.5
"51","network_5","network_10",31,13,76.5,63.5
"52","network_5","network_11",30.5,10.5,68,57.5
"53","network_5","network_12",27.5,15,67.5,52.5
"54","network_5","network_13",29,2,59.5,57.5
"55","network_5","network_14",33,4,62,58
"56","network_6","network_7",27,8.5,55.5,47
"57","network_6","network_8",33,10.5,67,56.5
"58","network_6","network_9",28.5,8.5,54,45.5
"59","network_6","network_10",33,6,65,59
"60","network_6","network_11",29.5,6.5,55.5,49
"61","network_6","network_12",27.5,11,57,46
"62","network_6","network_13",30,2.5,51,48.5
"63","network_6","network_14",34,1.5,52.5,51
"64","network_7","network_8",24,25.5,54.5,29
"65","network_7","network_9",31.5,11,58.5,47.5
"66","network_7","network_10",34,11,67.5,56.5
"67","network_7","network_11",30.5,11,60,49
"68","network_7","network_12",28.5,11.5,65.5,54
"69","network_7","network_13",34,4,55.5,51.5
"70","network_7","network_14",35,6.5,57,50.5
"71","network_8","network_9",33.5,19.5,68,48.5
"72","network_8","network_10",36,21.5,80,58.5
"73","network_8","network_11",37.5,11,70.5,59.5
"74","network_8","network_12",34.5,18,75,57
"75","network_8","network_13",41,5,67,62
"76","network_8","network_14",40,7.5,68.5,61
"77","network_9","network_10",22.5,16.5,50,33.5
"78","network_9","network_11",28,9.5,56.5,47
"79","network_9","network_12",31,12,62,50
"80","network_9","network_13",28.5,6.5,53,46.5
"81","network_9","network_14",28.5,8,52.5,44.5
"82","network_10","network_11",35.5,10.5,70.5,60
"83","network_10","network_12",32.5,20,77,57
"84","network_10","network_13",34,11,65,54
"85","network_10","network_14",31,12,63.5,51.5
"86","network_11","network_12",19,18.5,42.5,24
"87","network_11","network_13",26.5,9.5,53.5,44
"88","network_11","network_14",28.5,8.5,52,43.5
"89","network_12","network_13",26.5,9.5,55,45.5
"90","network_12","network_14",31.5,8,55.5,47.5
"91","network_13","network_14",21,8.5,32.5,24
