"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.176447574334898,0.19079939668175,0.325457875457875,0.134658478776126
"2","network_1","network_3",0.391713194240376,0.0888888888888889,0.449236298292902,0.360347409404013
"3","network_1","network_4",0.367592592592593,0.141025641025641,0.450328833506404,0.309303192480763
"4","network_1","network_5",0.437756497948016,0.333333333333333,0.475367523285826,0.142034189952493
"5","network_1","network_6",0.426050420168067,0.4,0.495730476634063,0.095730476634063
"6","network_1","network_7",0.419493549928333,0.166666666666667,0.488493217054264,0.321826550387597
"7","network_1","network_8",0.403846153846154,0.0666666666666667,0.463663297316138,0.396996630649471
"8","network_1","network_9",0.428683385579937,0.666666666666667,0.48929625984252,-0.177370406824147
"9","network_1","network_10",0.426613363792119,0.333333333333333,0.456600441501104,0.12326710816777
"10","network_1","network_11",0.448426812585499,0.333333333333333,0.484487196856794,0.151153863523461
"11","network_1","network_12",0.419291819291819,0.19047619047619,0.466726517787005,0.276250327310814
"12","network_1","network_13",0.468627450980392,1,0.504340704340704,-0.495659295659296
"13","network_1","network_14",0.461922596754057,0.333333333333333,0.504580034156187,0.171246700822854
"14","network_2","network_3",0.384576098059244,0.142857142857143,0.439130434782609,0.296273291925466
"15","network_2","network_4",0.395755305867665,0.151515151515152,0.450505625979205,0.298990474464054
"16","network_2","network_5",0.415873015873016,0.333333333333333,0.486877394636015,0.153544061302682
"17","network_2","network_6",0.415873015873016,0.333333333333333,0.492903225806452,0.159569892473118
"18","network_2","network_7",0.426922284065141,0.0666666666666667,0.495889003083248,0.429222336416581
"19","network_2","network_8",0.410974610974611,0.0357142857142857,0.482163144739832,0.446448859025546
"20","network_2","network_9",0.431802911534155,0.333333333333333,0.496090084454176,0.162756751120842
"21","network_2","network_10",0.42073381793008,0.0666666666666667,0.475807070009969,0.409140403343302
"22","network_2","network_11",0.446937821411875,0.333333333333333,0.488835725677831,0.155502392344498
"23","network_2","network_12",0.405482456140351,0.166666666666667,0.479501915708812,0.312835249042146
"24","network_2","network_13",0.463210702341137,1,0.497629047554532,-0.502370952445468
"25","network_2","network_14",0.461984536082474,0.333333333333333,0.500258064516129,0.166924731182796
"26","network_3","network_4",0.174038461538462,0.183673469387755,0.309603440038223,0.125929970650468
"27","network_3","network_5",0.326666666666667,0.293478260869565,0.440206692913386,0.146728432043821
"28","network_3","network_6",0.326666666666667,0.242105263157895,0.449479809557397,0.207374546399503
"29","network_3","network_7",0.349859943977591,0.269005847953216,0.453285352525656,0.18427950457244
"30","network_3","network_8",0.318201754385965,0.26,0.41501554001554,0.15501554001554
"31","network_3","network_9",0.368864799759109,0.26797385620915,0.462348393975743,0.194374537766593
"32","network_3","network_10",0.362061403508772,0.20952380952381,0.429948039678791,0.220424230154981
"33","network_3","network_11",0.387658227848101,0.155555555555556,0.456970232832302,0.301414677276746
"34","network_3","network_12",0.31358024691358,0.261538461538462,0.431225393700787,0.169686932162326
"35","network_3","network_13",0.407335280753002,0.333333333333333,0.495500173070267,0.162166839736933
"36","network_3","network_14",0.391713194240376,0.476190476190476,0.495495495495495,0.0193050193050193
"37","network_4","network_5",0.364492048036352,0.258333333333333,0.452025836758661,0.193692503425328
"38","network_4","network_6",0.364492048036352,0.192307692307692,0.468959868959869,0.276652176652177
"39","network_4","network_7",0.349859943977591,0.161904761904762,0.456387096774194,0.294482334869432
"40","network_4","network_8",0.328823024054983,0.239766081871345,0.435098363669792,0.195332281798447
"41","network_4","network_9",0.39271371199082,0.115384615384615,0.465161290322581,0.349776674937965
"42","network_4","network_10",0.383126446454871,0.0222222222222222,0.435098363669792,0.41287614144757
"43","network_4","network_11",0.412225233363445,0.25,0.476170798898072,0.226170798898072
"44","network_4","network_12",0.36078431372549,0.175824175824176,0.443335290663535,0.267511114839359
"45","network_4","network_13",0.432407407407407,1,0.495246038365304,-0.504753961634696
"46","network_4","network_14",0.403614457831325,0.0666666666666667,0.495733249051833,0.429066582385166
"47","network_5","network_6",0.153358011634056,0.143353174603175,0.260108732585797,0.116755557982622
"48","network_5","network_7",0.238198198198198,0.197724039829303,0.441347385009357,0.243623345180054
"49","network_5","network_8",0.236154649947753,0.196283391405343,0.420136492600261,0.223853101194918
"50","network_5","network_9",0.304912280701754,0.223809523809524,0.419247210926911,0.195437687117387
"51","network_5","network_10",0.246778711484594,0.133633633633634,0.432515337423313,0.298881703789679
"52","network_5","network_11",0.335495495495496,0.28,0.464944275582573,0.184944275582573
"53","network_5","network_12",0.26140350877193,0.257839721254355,0.424657534246575,0.16681781299222
"54","network_5","network_13",0.327856025039124,0.0727272727272727,0.42984126984127,0.357113997113997
"55","network_5","network_14",0.353456669912366,0.010989010989011,0.444126416219439,0.433137405230428
"56","network_6","network_7",0.250526315789474,0.150997150997151,0.416666666666667,0.265669515669516
"57","network_6","network_8",0.247446373850868,0.225806451612903,0.401029526029526,0.175223074416623
"58","network_6","network_9",0.292252252252252,0.193121693121693,0.408488819256516,0.215367126134823
"59","network_6","network_10",0.269713980219193,0.0434782608695652,0.386075317151134,0.342597056281569
"60","network_6","network_11",0.322473158089596,0.163157894736842,0.443430392582935,0.280272497846093
"61","network_6","network_12",0.26140350877193,0.215686274509804,0.397333333333333,0.181647058823529
"62","network_6","network_13",0.341324200913242,0.111111111111111,0.4581202609769,0.347009149865789
"63","network_6","network_14",0.365822784810127,0.107142857142857,0.459883236030025,0.352740378887168
"64","network_7","network_8",0.151462994836489,0.187962962962963,0.296006672922532,0.108043709959569
"65","network_7","network_9",0.297199638663053,0.193650793650794,0.401996476805637,0.208345683154843
"66","network_7","network_10",0.270425226946966,0.159244264507422,0.385587312652492,0.22634304814507
"67","network_7","network_11",0.295683219733853,0.245967741935484,0.428384019081693,0.18241627714621
"68","network_7","network_12",0.250925925925926,0.237076648841355,0.427429827190091,0.190353178348736
"69","network_7","network_13",0.345987654320988,0.141666666666667,0.426007691212078,0.284341024545411
"70","network_7","network_14",0.340896358543417,0.195238095238095,0.431648828072077,0.236410732833982
"71","network_8","network_9",0.252258852258852,0.255218855218855,0.39046706169397,0.135248206475115
"72","network_8","network_10",0.256039603960396,0.246054938632379,0.415649350649351,0.169594412016972
"73","network_8","network_11",0.298036465638149,0.229166666666667,0.414865806901359,0.185699140234693
"74","network_8","network_12",0.259665980324868,0.272959183673469,0.421267893660532,0.148308709987062
"75","network_8","network_13",0.338857782754759,0.143790849673203,0.40445509939067,0.260664249717468
"76","network_8","network_14",0.322379725085911,0.225296442687747,0.413122605363985,0.187826162676238
"77","network_9","network_10",0.15018315018315,0.109905020352782,0.264504544944451,0.154599524591669
"78","network_9","network_11",0.289152165864495,0.183467741935484,0.404698412698413,0.221230670762929
"79","network_9","network_12",0.295679012345679,0.204836415362731,0.405056595789696,0.200220180426965
"80","network_9","network_13",0.304794520547945,0.162055335968379,0.409145427286357,0.247090091317977
"81","network_9","network_14",0.285263157894737,0.171957671957672,0.398025346301208,0.226067674343536
"82","network_10","network_11",0.29902962206333,0.219758064516129,0.414865806901359,0.19510774238523
"83","network_10","network_12",0.256429463171036,0.301960784313725,0.433555062823355,0.13159427850963
"84","network_10","network_13",0.283447332421341,0.195564516129032,0.389003083247688,0.193438567118655
"85","network_10","network_14",0.245690834473324,0.204204204204204,0.375436793422405,0.171232589218201
"86","network_11","network_12",0.156490275893261,0.149692712906058,0.264617691154423,0.114924978248365
"87","network_11","network_13",0.298806479113384,0.28,0.43797546964757,0.15797546964757
"88","network_11","network_14",0.300259163272862,0.202279202279202,0.416084458934948,0.213805256655746
"89","network_12","network_13",0.256088280060883,0.182795698924731,0.387074922097277,0.204279223172546
"90","network_12","network_14",0.30462962962963,0.160098522167488,0.386703383162864,0.226604860995376
"91","network_13","network_14",0.208173076923077,0.091025641025641,0.275600835945664,0.184575194920023
