"","i","j","S","OS","WN","ST"
"1","network_1","network_2",60.3194444444444,44.3076923076923,101.190476190476,56.8827838827839
"2","network_1","network_3",81.7951807228916,6.4,105.660377358491,99.2603773584906
"3","network_1","network_4",79.2222222222222,10.2307692307692,107.666666666667,97.4358974358974
"4","network_1","network_5",85.5813953488372,3,133.970149253731,130.970149253731
"5","network_1","network_6",84.4235294117647,4.8,113.991228070175,109.191228070175
"6","network_1","network_7",91.304347826087,3.75,128.992248062016,125.242248062016
"7","network_1","network_8",104.228571428571,5.83333333333333,151.993421052632,146.160087719298
"8","network_1","network_9",87.4431818181818,2.66666666666667,127.9921875,125.325520833333
"9","network_1","network_10",102.52427184466,1.66666666666667,150.973509933775,149.306843267108
"10","network_1","network_11",85.7093023255814,1.66666666666667,121.967213114754,120.300546448087
"11","network_1","network_12",90.2967032967033,5.71428571428571,133.932835820896,128.21855010661
"12","network_1","network_13",84.8941176470588,2,111,109
"13","network_1","network_14",89.8222222222222,3,114,111
"14","network_2","network_3",87.6404494382023,10.5,115.577586206897,105.077586206897
"15","network_2","network_4",88.8888888888889,9,118.697478991597,109.697478991597
"16","network_2","network_5",90.2967032967033,5.33333333333333,144.972413793103,139.63908045977
"17","network_2","network_6",90.2967032967033,5.83333333333333,124.992,119.158666666667
"18","network_2","network_7",98.3535353535354,5.83333333333333,139.992857142857,134.159523809524
"19","network_2","network_8",110.099099099099,7.875,162.993865030675,155.118865030675
"20","network_2","network_9",94.4842105263158,2.66666666666667,138.992805755396,136.326139088729
"21","network_2","network_10",107.25,5.33333333333333,161.975308641975,156.641975308642
"22","network_2","network_11",92.7311827956989,1.66666666666667,132.96992481203,131.303258145363
"23","network_2","network_12",94.9583333333333,8,144.937931034483,136.937931034483
"24","network_2","network_13",91.9021739130435,2,122,120
"25","network_2","network_14",96.8350515463918,3,125,122
"26","network_3","network_4",53.7846153846154,42,87.6521739130435,45.6521739130435
"27","network_3","network_5",73.0394736842105,22.5,127.71875,105.21875
"28","network_3","network_6",73.0394736842105,18.2,106.663551401869,88.4635514018692
"29","network_3","network_7",82.6941176470588,17.6842105263158,122.79674796748,105.112537441164
"30","network_3","network_8",92.9895833333333,23.04,143.659722222222,120.619722222222
"31","network_3","network_9",80.2439024390244,17.1111111111111,122.869918699187,105.758807588076
"32","network_3","network_10",94.2395833333333,13.3333333333333,145.828767123288,132.495433789954
"33","network_3","network_11",78.75,7.5,116.786324786325,109.286324786325
"34","network_3","network_12",77.4320987654321,24.1153846153846,127.6171875,103.501802884615
"35","network_3","network_13",78.1898734177215,5.83333333333333,107.990740740741,102.157407407407
"36","network_3","network_14",81.7951807228916,6.85714285714286,110.990990990991,104.133848133848
"37","network_4","network_5",77.1772151898734,14.4375,130.809160305344,116.371660305344
"38","network_4","network_6",77.1772151898734,11.7692307692308,110.855855855856,99.0866250866251
"39","network_4","network_7",82.6941176470588,13.3333333333333,124.8,111.466666666667
"40","network_4","network_8",94.3608247422681,17.6842105263158,147.831081081081,130.146870554765
"41","network_4","network_9",82.8095238095238,11.7692307692308,124.872,113.102769230769
"42","network_4","network_10",96.765306122449,7.5,147.831081081081,140.331081081081
"43","network_4","network_11",81.219512195122,6.875,120.925619834711,114.050619834711
"44","network_4","network_12",83.0117647058824,11.4285714285714,130.725190839695,119.296619411123
"45","network_4","network_13",80.5555555555556,1.5,109.990909090909,108.490909090909
"46","network_4","network_14",83.0357142857143,5.83333333333333,112.991150442478,107.157817109145
"47","network_5","network_6",49.3548387096774,51.75,101.807339449541,50.0573394495413
"48","network_5","network_7",67.9466666666667,35.8684210526316,142.433566433566,106.565145380935
"49","network_5","network_8",81.4545454545455,37.9761904761905,160.956790123457,122.980599647266
"50","network_5","network_9",72.1973684210526,32,137.964028776978,105.964028776978
"51","network_5","network_10",78.7764705882353,33.7297297297297,163.262195121951,129.532465392221
"52","network_5","network_11",72.3866666666667,25.0384615384615,140.822695035461,115.784233496999
"53","network_5","network_12",70.1973684210526,38.5714285714286,146.020408163265,107.448979591837
"54","network_5","network_13",69.2777777777778,6.54545454545455,125.611111111111,119.065656565657
"55","network_5","network_14",76.8607594936709,11.4285714285714,129.723076923077,118.294505494505
"56","network_6","network_7",69.6315789473684,23.2962962962963,120.173553719008,96.877257422712
"57","network_6","network_8",83.0561797752809,27.7741935483871,143.305555555556,115.531362007168
"58","network_6","network_9",70.68,23.6785714285714,117.983193277311,94.3046218487395
"59","network_6","network_10",81.9310344827586,18,140.985915492958,122.985915492958
"60","network_6","network_11",70.9594594594595,17.55,117.584745762712,100.034745762712
