"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.511713518690518,0.53051471669878,0.748461233004036,0.217946516305256
"2","network_1","network_3",0.835880620238893,0.321928094887362,0.920565532505595,0.598637437618233
"3","network_1","network_4",0.800691191776593,0.452512204697507,0.921997487998727,0.46948528330122
"4","network_1","network_5",0.902702798645085,0.415037499278844,0.978626349207433,0.563588849928589
"5","network_1","network_6",0.885828980080689,0.736965594166206,0.987399963220366,0.25043436905416
"6","network_1","network_7",0.879705766282288,0.678071905112638,0.9888594423948,0.310787537282162
"7","network_1","network_8",0.881355503501381,0.777607578663552,0.990539670750934,0.212932092087382
"8","network_1","network_9",0.889576010306349,0.584962500721156,0.988772744576746,0.40381024385559
"9","network_1","network_10",0.905140813658559,0.263034405833794,0.981016896632427,0.717982490798633
"10","network_1","network_11",0.918470114503402,0.263034405833794,0.976541027176011,0.713506621342217
"11","network_1","network_12",0.878438020119087,0.485426827170242,0.968057107497246,0.482630280327004
"12","network_1","network_13",0.949959317500404,1,1,0
"13","network_1","network_14",0.937264244652037,1,1,0
"14","network_2","network_3",0.831877241191673,0.415037499278844,0.915466489788332,0.500428990509489
"15","network_2","network_4",0.84799690655495,0.415037499278844,0.929033478645856,0.513995979367013
"16","network_2","network_5",0.878438020119087,0.584962500721156,0.98023674517857,0.395274244457414
"17","network_2","network_6",0.878438020119087,0.777607578663552,0.988504361162171,0.210896782498619
"18","network_2","network_7",0.887889633678463,0.777607578663552,0.989731664546173,0.212124085882621
"19","network_2","network_8",0.875552629075511,0.830074998557688,0.991176149612994,0.161101151055306
"20","network_2","network_9",0.897430266359452,0.584962500721156,0.989658055778541,0.404695555057385
"21","network_2","network_10",0.884522782580064,0.584962500721156,0.982297998266541,0.397335497545385
"22","network_2","network_11",0.924448966992823,0.263034405833794,0.978466838450359,0.715432432616565
"23","network_2","network_12",0.857042046157957,0.584962500721156,0.970455724385985,0.385493223664828
"24","network_2","network_13",0.953706347726065,1,1,0
"25","network_2","network_14",0.941701359435333,1,1,0
"26","network_3","network_4",0.498805856971442,0.514573172829758,0.716207033999409,0.20163386116965
"27","network_3","network_5",0.740132873244889,0.678071905112638,0.933910809542228,0.25583890442959
"28","network_3","network_6",0.740132873244889,0.62148837674627,0.921288023985959,0.299799647239689
"29","network_3","network_7",0.780034316058092,0.662965012722429,0.94251450533924,0.27954949261681
"30","network_3","network_8",0.764783538305969,0.643856189774725,0.931520262117233,0.287664072342509
"31","network_3","network_9",0.802963152940446,0.710493382805015,0.953829818567074,0.243336435762059
"32","network_3","network_10",0.81677817594423,0.584962500721156,0.951419819554938,0.366457318833782
"33","network_3","network_11",0.830074998557688,0.415037499278844,0.939627382020518,0.524589882741674
"34","network_3","network_12",0.725140158769416,0.656045598782639,0.923184402949169,0.26713880416653
"35","network_3","network_13",0.860837252328374,0.777607578663552,0.986703177386542,0.20909559872299
"36","network_3","network_14",0.835880620238893,0.807354922057604,0.987060944292502,0.179706022234898
"37","network_4","network_5",0.795986107978407,0.60768257722124,0.945960160287111,0.338277583065871
"38","network_4","network_6",0.795986107978407,0.612976876890753,0.948925815405731,0.335948938514978
"39","network_4","network_7",0.780034316058092,0.584962500721156,0.943416471633633,0.358453970912476
"40","network_4","network_8",0.77973387977194,0.662965012722429,0.952065522936298,0.289100510213869
"41","network_4","network_9",0.837728571101123,0.612976876890753,0.954557029238833,0.34158015234808
"42","network_4","network_10",0.846525519338282,0.415037499278844,0.952065522936298,0.537028023657454
"43","network_4","network_11",0.865698908288409,0.540568381362703,0.964666926887719,0.424098545525017
"44","network_4","network_12",0.794681092022494,0.485426827170242,0.935390918576923,0.449964091406682
"45","network_4","network_13",0.896906507035896,0.415037499278844,0.986943847174554,0.57190634789571
"46","network_4","network_14",0.853158611670729,0.777607578663552,0.987288948250446,0.209681369586894
"47","network_5","network_6",0.4623432140572,0.476438043942987,0.6701522418164,0.193714197873413
"48","network_5","network_7",0.614108846380673,0.693338661765948,0.911943823334804,0.218605161568856
"49","network_5","network_8",0.652076696579693,0.610957709254101,0.888638891052296,0.277681181798195
"50","network_5","network_9",0.708768702335554,0.584962500721156,0.880536333398429,0.295573832677272
"51","network_5","network_10",0.654503433974233,0.624490864907794,0.906340892785755,0.281850027877961
"52","network_5","network_11",0.753085259529483,0.746243407754217,0.949726793518776,0.203483385764559
"53","network_5","network_12",0.648014671256458,0.637429920615292,0.886789389552009,0.249359468936717
"54","network_5","network_13",0.743660246740214,0.289506617194985,0.921997487998727,0.632490870803742
"55","network_5","network_14",0.78021879212009,0.485426827170242,0.934904971778115,0.449478144607873
"56","network_6","network_7",0.633217669328377,0.545434136534519,0.885440235737144,0.340006099202626
"57","network_6","network_8",0.668378508908794,0.596644305768792,0.903138460747411,0.306494154978619
"58","network_6","network_9",0.689659879387849,0.521952703195356,0.872449950279489,0.350497247084133
"59","network_6","network_10",0.68805599368526,0.415037499278844,0.882960578809781,0.467923079530937
"60","network_6","network_11",0.733719934662552,0.567040592723894,0.916858764699754,0.34981817197586
"61","network_6","network_12",0.648014671256458,0.563900885193326,0.868755466721747,0.304854581528421
"62","network_6","network_13",0.763559804177919,0.415037499278844,0.934112064343543,0.519074565064699
"63","network_6","network_14",0.79836613883035,0.299560281858908,0.935869662580284,0.636309380721377
"64","network_7","network_8",0.485426827170242,0.545434136534519,0.718061636441323,0.172627499906804
"65","network_7","network_9",0.699340521866289,0.526068811667588,0.853513911522516,0.327445099854928
"66","network_7","network_10",0.665580960929441,0.478047296804644,0.847048077161401,0.369000780356757
"67","network_7","network_11",0.703867905989975,0.60768257722124,0.893084796083488,0.285402218862248
"68","network_7","network_12",0.625604485218502,0.595609744920665,0.89235927681203,0.296749531891366
"69","network_7","network_13",0.785261151206987,0.415037499278844,0.906133076535778,0.491095577256934
"70","network_7","network_14",0.765534746362977,0.534336427651188,0.908369524534432,0.374033096883243
"71","network_8","network_9",0.662304589254321,0.631612594019977,0.855610090664825,0.223997496644848
"72","network_8","network_10",0.63584366972334,0.65382435886596,0.874469117916141,0.220644759050181
"73","network_8","network_11",0.744742944757925,0.584962500721156,0.899199359212508,0.314236858491352
"74","network_8","network_12",0.659771088369694,0.660513533728333,0.88929653559378,0.228783001865447
"75","network_8","network_13",0.814968106167479,0.46948528330122,0.920928429008801,0.451443145707581
