"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.333333333333333,0.368421052631579,0.544117647058823,0.175696594427245
"2","network_1","network_3",0.765957446808511,0.111111111111111,0.859649122807018,0.748538011695906
"3","network_1","network_4",0.723404255319149,0.181818181818182,0.894736842105263,0.712918660287081
"4","network_1","network_5",0.829787234042553,0.333333333333333,0.69620253164557,0.362869198312236
"5","network_1","network_6",0.808510638297872,0.25,0.96551724137931,0.71551724137931
"6","network_1","network_7",0.735849056603774,0,0.767123287671233,0.767123287671233
"7","network_1","network_8",0.567164179104478,0,0.583333333333333,0.583333333333333
"8","network_1","network_9",0.833333333333333,0.5,0.777777777777778,0.277777777777778
"9","network_1","network_10",0.634920634920635,0,0.572916666666667,0.572916666666667
"10","network_1","network_11",0.829787234042553,0,0.82089552238806,0.82089552238806
"11","network_1","network_12",0.75,0.166666666666667,0.675,0.508333333333333
"12","network_1","network_13",0.808510638297872,0,0.947368421052632,0.947368421052632
"13","network_1","network_14",0.914893617021277,0,1,1
"14","network_2","network_3",0.648148148148148,0.272727272727273,0.705882352941177,0.433155080213904
"15","network_2","network_4",0.666666666666667,0.333333333333333,0.75,0.416666666666667
"16","network_2","network_5",0.685185185185185,0.5,0.835443037974684,0.335443037974684
"17","network_2","network_6",0.685185185185185,0.2,0.838235294117647,0.638235294117647
"18","network_2","network_7",0.833333333333333,0,0.917808219178082,0.917808219178082
"19","network_2","network_8",0.656716417910448,0,0.697916666666667,0.697916666666667
"20","network_2","network_9",0.759259259259259,0,0.930555555555556,0.930555555555556
"21","network_2","network_10",0.714285714285714,0,0.6875,0.6875
"22","network_2","network_11",0.722222222222222,0,0.955882352941177,0.955882352941177
"23","network_2","network_12",0.777777777777778,0.125,0.8125,0.6875
"24","network_2","network_13",0.703703703703704,0,0.794117647058823,0.794117647058823
"25","network_2","network_14",0.796296296296296,0,0.838235294117647,0.838235294117647
"26","network_3","network_4",0.41304347826087,0.388888888888889,0.614035087719298,0.225146198830409
"27","network_3","network_5",0.652173913043478,0.5,0.620253164556962,0.120253164556962
"28","network_3","network_6",0.652173913043478,0.333333333333333,0.844827586206897,0.511494252873563
"29","network_3","network_7",0.60377358490566,0.357142857142857,0.684931506849315,0.327788649706458
"30","network_3","network_8",0.432835820895522,0.388888888888889,0.5,0.111111111111111
"31","network_3","network_9",0.708333333333333,0.285714285714286,0.708333333333333,0.422619047619048
"32","network_3","network_10",0.523809523809524,0.25,0.520833333333333,0.270833333333333
