"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.597222222222222,0.615384615384615,0.80952380952381,0.194139194139194
"2","network_1","network_3",0.879518072289157,0.4,0.943396226415094,0.543396226415094
"3","network_1","network_4",0.851851851851852,0.538461538461538,0.944444444444444,0.405982905982906
"4","network_1","network_5",0.930232558139535,0.5,0.985074626865672,0.485074626865672
"5","network_1","network_6",0.917647058823529,0.8,0.991228070175439,0.191228070175439
"6","network_1","network_7",0.91304347826087,0.75,0.992248062015504,0.242248062015504
"7","network_1","network_8",0.914285714285714,0.833333333333333,0.993421052631579,0.160087719298246
"8","network_1","network_9",0.920454545454545,0.666666666666667,0.9921875,0.325520833333333
"9","network_1","network_10",0.932038834951456,0.333333333333333,0.986754966887417,0.653421633554084
"10","network_1","network_11",0.941860465116279,0.333333333333333,0.983606557377049,0.650273224043716
"11","network_1","network_12",0.912087912087912,0.571428571428571,0.977611940298508,0.406183368869936
"12","network_1","network_13",0.964705882352941,1,1,0
"13","network_1","network_14",0.955555555555556,1,1,0
"14","network_2","network_3",0.876404494382023,0.5,0.939655172413793,0.439655172413793
"15","network_2","network_4",0.888888888888889,0.5,0.949579831932773,0.449579831932773
"16","network_2","network_5",0.912087912087912,0.666666666666667,0.986206896551724,0.319540229885057
"17","network_2","network_6",0.912087912087912,0.833333333333333,0.992,0.158666666666667
"18","network_2","network_7",0.919191919191919,0.833333333333333,0.992857142857143,0.15952380952381
"19","network_2","network_8",0.90990990990991,0.875,0.993865030674847,0.118865030674847
"20","network_2","network_9",0.926315789473684,0.666666666666667,0.992805755395683,0.326139088729017
"21","network_2","network_10",0.916666666666667,0.666666666666667,0.987654320987654,0.320987654320988
"22","network_2","network_11",0.946236559139785,0.333333333333333,0.984962406015038,0.651629072681704
"23","network_2","network_12",0.895833333333333,0.666666666666667,0.979310344827586,0.31264367816092
"24","network_2","network_13",0.967391304347826,1,1,0
"25","network_2","network_14",0.958762886597938,1,1,0
"26","network_3","network_4",0.584615384615385,0.6,0.782608695652174,0.182608695652174
"27","network_3","network_5",0.802631578947368,0.75,0.953125,0.203125
"28","network_3","network_6",0.802631578947368,0.7,0.94392523364486,0.24392523364486
"29","network_3","network_7",0.835294117647059,0.736842105263158,0.959349593495935,0.222507488232777
"30","network_3","network_8",0.822916666666667,0.72,0.951388888888889,0.231388888888889
"31","network_3","network_9",0.853658536585366,0.777777777777778,0.967479674796748,0.18970189701897
"32","network_3","network_10",0.864583333333333,0.666666666666667,0.965753424657534,0.299086757990868
"33","network_3","network_11",0.875,0.5,0.957264957264957,0.457264957264957
"34","network_3","network_12",0.790123456790123,0.730769230769231,0.9453125,0.214543269230769
"35","network_3","network_13",0.89873417721519,0.833333333333333,0.990740740740741,0.157407407407407
"36","network_3","network_14",0.879518072289157,0.857142857142857,0.990990990990991,0.133848133848134
"37","network_4","network_5",0.848101265822785,0.6875,0.961832061068702,0.274332061068702
"38","network_4","network_6",0.848101265822785,0.692307692307692,0.963963963963964,0.271656271656272
"39","network_4","network_7",0.835294117647059,0.666666666666667,0.96,0.293333333333333
"40","network_4","network_8",0.835051546391753,0.736842105263158,0.966216216216216,0.229374110953058
"41","network_4","network_9",0.880952380952381,0.692307692307692,0.968,0.275692307692308
"42","network_4","network_10",0.887755102040816,0.5,0.966216216216216,0.466216216216216
"43","network_4","network_11",0.902439024390244,0.625,0.975206611570248,0.350206611570248
"44","network_4","network_12",0.847058823529412,0.571428571428571,0.954198473282443,0.382769901853871
"45","network_4","network_13",0.925925925925926,0.5,0.990909090909091,0.490909090909091
"46","network_4","network_14",0.892857142857143,0.833333333333333,0.991150442477876,0.157817109144543
"47","network_5","network_6",0.548387096774194,0.5625,0.743119266055046,0.180619266055046
"48","network_5","network_7",0.693333333333333,0.763157894736842,0.937062937062937,0.173905042326095
