"","i","j","S","OS","WN","ST"
"1","network_1","network_2",43,32,85,53
"2","network_1","network_3",73,4,100,96
"3","network_1","network_4",69,7,102,95
"4","network_1","network_5",80,2,132,130
"5","network_1","network_6",78,4,113,109
"6","network_1","network_7",84,3,128,125
"7","network_1","network_8",96,5,151,146
"8","network_1","network_9",81,2,127,125
"9","network_1","network_10",96,1,149,148
"10","network_1","network_11",81,1,120,119
"11","network_1","network_12",83,4,131,127
"12","network_1","network_13",82,2,111,109
"13","network_1","network_14",86,3,114,111
"14","network_2","network_3",78,7,109,102
"15","network_2","network_4",80,6,113,107
"16","network_2","network_5",83,4,143,139
"17","network_2","network_6",83,5,124,119
"18","network_2","network_7",91,5,139,134
"19","network_2","network_8",101,7,162,155
"20","network_2","network_9",88,2,138,136
"21","network_2","network_10",99,4,160,156
"22","network_2","network_11",88,1,131,130
"23","network_2","network_12",86,6,142,136
"24","network_2","network_13",89,2,122,120
"25","network_2","network_14",93,3,125,122
"26","network_3","network_4",38,30,72,42
"27","network_3","network_5",61,18,122,104
"28","network_3","network_6",61,14,101,87
"29","network_3","network_7",71,14,118,104
"30","network_3","network_8",79,18,137,119
"31","network_3","network_9",70,14,119,105
"32","network_3","network_10",83,10,141,131
"33","network_3","network_11",70,5,112,107
"34","network_3","network_12",64,19,121,102
"35","network_3","network_13",71,5,107,102
"36","network_3","network_14",73,6,110,104
"37","network_4","network_5",67,11,126,115
"38","network_4","network_6",67,9,107,98
"39","network_4","network_7",71,10,120,110
"40","network_4","network_8",81,14,143,129
"41","network_4","network_9",74,9,121,112
"42","network_4","network_10",87,5,143,138
"43","network_4","network_11",74,5,118,113
"44","network_4","network_12",72,8,125,117
"45","network_4","network_13",75,1,109,108
"46","network_4","network_14",75,5,112,107
"47","network_5","network_6",34,36,81,45
"48","network_5","network_7",52,29,134,105
"49","network_5","network_8",64,29,149,120
"50","network_5","network_9",59,24,127,103
"51","network_5","network_10",62,26,153,127
"52","network_5","network_11",61,21,136,115
"53","network_5","network_12",55,30,135,105
"54","network_5","network_13",58,4,119,115
"55","network_5","network_14",66,8,124,116
"56","network_6","network_7",54,17,111,94
"57","network_6","network_8",66,21,134,113
"58","network_6","network_9",57,17,108,91
"59","network_6","network_10",66,12,130,118
"60","network_6","network_11",59,13,111,98
"61","network_6","network_12",55,22,114,92
"62","network_6","network_13",60,5,102,97
"63","network_6","network_14",68,3,105,102
"64","network_7","network_8",48,51,109,58
"65","network_7","network_9",63,22,117,95
"66","network_7","network_10",68,22,135,113
"67","network_7","network_11",61,22,120,98
"68","network_7","network_12",57,23,131,108
"69","network_7","network_13",68,8,111,103
"70","network_7","network_14",70,13,114,101
"71","network_8","network_9",67,39,136,97
"72","network_8","network_10",72,43,160,117
"73","network_8","network_11",75,22,141,119
"74","network_8","network_12",69,36,150,114
"75","network_8","network_13",82,10,134,124
"76","network_8","network_14",80,15,137,122
"77","network_9","network_10",45,33,100,67
"78","network_9","network_11",56,19,113,94
"79","network_9","network_12",62,24,124,100
"80","network_9","network_13",57,13,106,93
"81","network_9","network_14",57,16,105,89
"82","network_10","network_11",71,21,141,120
"83","network_10","network_12",65,40,154,114
"84","network_10","network_13",68,22,130,108
"85","network_10","network_14",62,24,127,103
"86","network_11","network_12",38,37,85,48
"87","network_11","network_13",53,19,107,88
"88","network_11","network_14",57,17,104,87
"89","network_12","network_13",53,19,110,91
"90","network_12","network_14",63,16,111,95
"91","network_13","network_14",42,17,65,48
