"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.537037037037037,0.526315789473684,0.294117647058824,-0.232198142414861
"2","network_1","network_3",0.217391304347826,0.666666666666667,0.109090909090909,-0.557575757575758
"3","network_1","network_4",0.260869565217391,0.545454545454545,0.105263157894737,-0.440191387559809
"4","network_1","network_5",0.133333333333333,0.666666666666667,0.0253164556962025,-0.641350210970464
"5","network_1","network_6",0.155555555555556,0.5,0.0172413793103448,-0.482758620689655
"6","network_1","network_7",0.150943396226415,1,0.0136986301369863,-0.986301369863014
"7","network_1","network_8",0.134328358208955,1,0.0104166666666667,-0.989583333333333
"8","network_1","network_9",0.145833333333333,0.5,0.0138888888888889,-0.486111111111111
"9","network_1","network_10",0.111111111111111,1,0.0208333333333333,-0.979166666666667
"10","network_1","network_11",0.113636363636364,1,0.0298507462686567,-0.970149253731343
"11","network_1","network_12",0.153846153846154,0.75,0.0375,-0.7125
"12","network_1","network_13",0.0731707317073171,NA,0,NA
"13","network_1","network_14",0.0851063829787234,NA,0,NA
"14","network_2","network_3",0.239130434782609,0.7,0.127272727272727,-0.572727272727273
"15","network_2","network_4",0.217391304347826,0.666666666666667,0.105263157894737,-0.56140350877193
"16","network_2","network_5",0.177777777777778,0.5,0.0253164556962025,-0.474683544303797
"17","network_2","network_6",0.177777777777778,0.5,0.0172413793103448,-0.482758620689655
"18","network_2","network_7",0.150943396226415,1,0.0136986301369863,-0.986301369863014
"19","network_2","network_8",0.149253731343284,1,0.0104166666666667,-0.989583333333333
"20","network_2","network_9",0.145833333333333,1,0.0138888888888889,-0.986111111111111
"21","network_2","network_10",0.142857142857143,1,0.0208333333333333,-0.979166666666667
"22","network_2","network_11",0.113636363636364,1,0.0298507462686567,-0.970149253731343
"23","network_2","network_12",0.192307692307692,0.75,0.0375,-0.7125
"24","network_2","network_13",0.0731707317073171,NA,0,NA
"25","network_2","network_14",0.0851063829787234,NA,0,NA
"26","network_3","network_4",0.58695652173913,0.555555555555556,0.350877192982456,-0.204678362573099
"27","network_3","network_5",0.333333333333333,0.375,0.0759493670886076,-0.299050632911392
"28","network_3","network_6",0.333333333333333,0.545454545454545,0.103448275862069,-0.442006269592476
"29","network_3","network_7",0.264150943396226,0.5,0.0684931506849315,-0.431506849315068
"30","network_3","network_8",0.253731343283582,0.5,0.0729166666666667,-0.427083333333333
"31","network_3","network_9",0.25,0.5,0.0555555555555556,-0.444444444444444
"32","network_3","network_10",0.206349206349206,0.625,0.0520833333333333,-0.572916666666667
"33","network_3","network_11",0.227272727272727,0.714285714285714,0.0746268656716418,-0.639658848614073
"34","network_3","network_12",0.326923076923077,0.5,0.0875,-0.4125
"35","network_3","network_13",0.195121951219512,0.2,0.0185185185185185,-0.181481481481481
"36","network_3","network_14",0.212765957446809,0.25,0.0175438596491228,-0.232456140350877
"37","network_4","network_5",0.266666666666667,0.454545454545455,0.0632911392405063,-0.391254315304948
"38","network_4","network_6",0.266666666666667,0.666666666666667,0.0689655172413793,-0.597701149425287
"39","network_4","network_7",0.264150943396226,0.714285714285714,0.0684931506849315,-0.645792563600783
"40","network_4","network_8",0.238805970149254,0.555555555555556,0.0520833333333333,-0.503472222222222
"41","network_4","network_9",0.208333333333333,0.8,0.0555555555555556,-0.744444444444444
"42","network_4","network_10",0.174603174603175,1,0.0520833333333333,-0.947916666666667
"43","network_4","network_11",0.181818181818182,0.6,0.0447761194029851,-0.555223880597015
"44","network_4","network_12",0.25,0.666666666666667,0.075,-0.591666666666667
"45","network_4","network_13",0.146341463414634,1,0.0185185185185185,-0.981481481481482
"46","network_4","network_14",0.191489361702128,1,0.0175438596491228,-0.982456140350877
"47","network_5","network_6",0.622222222222222,0.7,0.482758620689655,-0.217241379310345
"48","network_5","network_7",0.433962264150943,0.6,0.123287671232877,-0.476712328767123
"49","network_5","network_8",0.358208955223881,0.619047619047619,0.135416666666667,-0.483630952380952
"50","network_5","network_9",0.354166666666667,0.545454545454545,0.166666666666667,-0.378787878787879
"51","network_5","network_10",0.365079365079365,0.733333333333333,0.114583333333333,-0.61875
"52","network_5","network_11",0.318181818181818,0.454545454545455,0.0746268656716418,-0.379918588873813
"53","network_5","network_12",0.403846153846154,0.48,0.15,-0.33
"54","network_5","network_13",0.341463414634146,0.875,0.12962962962963,-0.74537037037037
"55","network_5","network_14",0.276595744680851,1,0.105263157894737,-0.894736842105263
"56","network_6","network_7",0.415094339622642,0.714285714285714,0.136986301369863,-0.577299412915851
"57","network_6","network_8",0.343283582089552,0.555555555555556,0.104166666666667,-0.451388888888889
"58","network_6","network_9",0.375,0.55,0.152777777777778,-0.397222222222222
"59","network_6","network_10",0.333333333333333,0.923076923076923,0.125,-0.798076923076923
"60","network_6","network_11",0.340909090909091,0.7,0.104477611940299,-0.595522388059701
"61","network_6","network_12",0.403846153846154,0.5,0.15,-0.35
"62","network_6","network_13",0.317073170731707,0.555555555555556,0.0925925925925926,-0.462962962962963
"63","network_6","network_14",0.25531914893617,0.833333333333333,0.087719298245614,-0.745614035087719
"64","network_7","network_8",0.537313432835821,0.483870967741935,0.3125,-0.171370967741935
"65","network_7","network_9",0.395833333333333,0.56,0.194444444444444,-0.365555555555556
"66","network_7","network_10",0.380952380952381,0.653846153846154,0.177083333333333,-0.47676282051282
"67","network_7","network_11",0.409090909090909,0.476190476190476,0.149253731343284,-0.326936744847193
"68","network_7","network_12",0.461538461538462,0.5,0.1375,-0.3625
"69","network_7","network_13",0.317073170731707,0.666666666666667,0.148148148148148,-0.518518518518518
"70","network_7","network_14",0.319148936170213,0.615384615384615,0.140350877192982,-0.475033738191633
"71","network_8","network_9",0.5,0.470588235294118,0.222222222222222,-0.248366013071895
"72","network_8","network_10",0.46031746031746,0.516129032258065,0.166666666666667,-0.349462365591398
"73","network_8","network_11",0.409090909090909,0.523809523809524,0.164179104477612,-0.359630419331912
"74","network_8","network_12",0.480769230769231,0.393939393939394,0.1625,-0.231439393939394
"75","network_8","network_13",0.317073170731707,0.533333333333333,0.148148148148148,-0.385185185185185
"76","network_8","network_14",0.361702127659574,0.533333333333333,0.140350877192982,-0.392982456140351
"77","network_9","network_10",0.523809523809524,0.755555555555556,0.354166666666667,-0.401388888888889
"78","network_9","network_11",0.409090909090909,0.565217391304348,0.194029850746269,-0.371187540558079
"79","network_9","network_12",0.365384615384615,0.518518518518518,0.175,-0.343518518518519
"80","network_9","network_13",0.390243902439024,0.555555555555556,0.185185185185185,-0.37037037037037
"81","network_9","network_14",0.404255319148936,0.6,0.210526315789474,-0.389473684210526
"82","network_10","network_11",0.409090909090909,0.478260869565217,0.164179104477612,-0.314081765087605
"83","network_10","network_12",0.480769230769231,0.314285714285714,0.1375,-0.176785714285714
"84","network_10","network_13",0.439024390243902,0.384615384615385,0.185185185185185,-0.199430199430199
"85","network_10","network_14",0.51063829787234,0.464285714285714,0.228070175438596,-0.236215538847118
"86","network_11","network_12",0.557692307692308,0.607843137254902,0.3875,-0.220343137254902
"87","network_11","network_13",0.390243902439024,0.411764705882353,0.12962962962963,-0.282135076252723
"88","network_11","network_14",0.361702127659574,0.5,0.175438596491228,-0.324561403508772
"89","network_12","network_13",0.48780487804878,0.5,0.222222222222222,-0.277777777777778
"90","network_12","network_14",0.382978723404255,0.619047619047619,0.228070175438596,-0.390977443609023
"91","network_13","network_14",0.48936170212766,0.766666666666667,0.403508771929825,-0.363157894736842
