"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.292698613204423,0.30652140889175,0.467463069774762,0.160941660883012
"2","network_1","network_3",0.544025459496589,0.165453821856499,0.618721963964071,0.453268142107572
"3","network_1","network_4",0.514212677537022,0.242852321222224,0.620184319448372,0.377331998226148
"4","network_1","network_5",0.602500365236471,0.231049060186648,0.659618920047053,0.428569859860404
"5","network_1","network_6",0.587431948267776,0.405465108108164,0.681054639325149,0.275589531216984
"6","network_1","network_7",0.580442550112148,0.22314355131421,0.674890174828492,0.451746623514282
"7","network_1","network_8",0.568233606029176,0.212074266699853,0.651237640290464,0.439163373590611
"8","network_1","network_9",0.590943772318533,0.346573590279973,0.675624984231089,0.329051393951116
"9","network_1","network_10",0.594312315148065,0.1184939225613,0.642176892832164,0.523682970270864
"10","network_1","network_11",0.616433649611622,0.1184939225613,0.667532239088877,0.549038316527577
"11","network_1","network_12",0.579847470987457,0.257123358673289,0.648631027113968,0.391507668440679
"12","network_1","network_13",0.643560961084922,NA,0.692781905987648,NA
"13","network_1","network_14",0.634155931150588,NA,0.693147180559945,NA
"14","network_2","network_3",0.537451378735212,0.229914844458577,0.608656634497617,0.37874179003904
"15","network_2","network_4",0.551314322346411,0.231049060186648,0.62272803822019,0.391678978033542
"16","network_2","network_5",0.576985451719496,0.346573590279972,0.671483654675948,0.324910064395976
"17","network_2","network_6",0.576985451719496,0.400227536996701,0.678992121834117,0.278764584837416
"18","network_2","network_7",0.589455331455435,0.212074266699853,0.682686432811305,0.470612166111452
"19","network_2","network_8",0.572794780101994,0.194799389051933,0.670047862616837,0.475248473564904
"20","network_2","network_9",0.596278229304968,0.215761554338836,0.682836859164652,0.467075304825817
"21","network_2","network_10",0.583547648240351,0.215761554338835,0.661594848219764,0.445833293880928
"22","network_2","network_11",0.617202639767779,0.1184939225613,0.672582051227987,0.554088128666686
"23","network_2","network_12",0.562186683811086,0.28994057801484,0.661755937215159,0.371815359200319
"24","network_2","network_13",0.639977140729939,NA,0.686548401565665,NA
"25","network_2","network_14",0.635840781798456,NA,0.689270167553945,NA
"26","network_3","network_4",0.286299922405194,0.29665485856697,0.445435168824085,0.148780310257115
"27","network_3","network_5",0.464576740638156,0.413664437089841,0.614948220104642,0.201283783014802
"28","network_3","network_6",0.464576740638156,0.361351646327845,0.619186172993778,0.257834526665933
"29","network_3","network_7",0.494603721726112,0.390381940758215,0.629074512378851,0.238692571620636
"30","network_3","network_8",0.467220439272242,0.382062315781483,0.591552604387524,0.209490288606041
"31","network_3","network_9",0.51594706848792,0.403428253697777,0.640498399833225,0.237070146135448
"32","network_3","network_10",0.515597251993148,0.326438076729283,0.609914119104344,0.283476042375061
"33","network_3","network_11",0.538867539862478,0.228825188940522,0.631486598072764,0.402661409132243
"34","network_3","network_12",0.450792154754545,0.387561993387231,0.604019100738165,0.216457107350934
"35","network_3","network_13",0.564019453570283,0.400227536996701,0.680386799078899,0.280159262082198
"36","network_3","network_14",0.544025459496589,0.519860385419959,0.680610105085495,0.160749719665536
"37","network_4","network_5",0.510278752543208,0.361942878850947,0.629038897375291,0.267096018524344
"38","network_4","network_6",0.510278752543208,0.323061446372101,0.644890438600282,0.321828992228181
"39","network_4","network_7",0.494603721726112,0.30087304875466,0.63223496371711,0.33136191496245
"40","network_4","network_8",0.479488530963568,0.372751912924672,0.614994650457264,0.242242737532592
"41","network_4","network_9",0.545442693192598,0.279610590873506,0.643385580484114,0.363774989610608
"42","network_4","network_10",0.541033845775164,0.174416047921516,0.614994650457264,0.440578602535748
"43","network_4","network_11",0.569674081220699,0.310928958171234,0.656352445854039,0.345423487682805
"44","network_4","network_12",0.507375598065561,0.272250505377621,0.618274216286525,0.346023710908904
"45","network_4","network_13",0.595888289458097,0.174416047921516,0.68029276759918,0.505876719677664
"46","network_4","network_14",0.558931850476373,0.212074266699853,0.680986703708016,0.468912437008163
"47","network_5","network_6",0.261855601544869,0.262700602677859,0.398022407084009,0.13532180440615
"48","network_5","network_7",0.364456725979916,0.360765662216369,0.610284673485709,0.24951901126934
"49","network_5","network_8",0.376665994458161,0.337277626619745,0.585439497235711,0.248161870615966
"50","network_5","network_9",0.439218152268511,0.343097338077054,0.581903192791816,0.238805854714762
"51","network_5","network_10",0.383963911308586,0.303393916798604,0.601282861362796,0.297888944564192
"52","network_5","network_11",0.475015279982181,0.426794776179942,0.64228978849129,0.215495012311348
"53","network_5","network_12",0.390415442530019,0.382335768328137,0.588501413212407,0.206165644884271
"54","network_5","network_13",0.4663892982277,0.147847102828476,0.602412441099912,0.454565338271436
"55","network_5","network_14",0.497021446455609,0.194975993718927,0.618845556484703,0.423869562765776
"56","network_6","network_7",0.37860258680767,0.288590529071712,0.580753220707077,0.292162691635365
"57","network_6","network_8",0.389043622682446,0.347572012565276,0.572367767323996,0.22479575475872
"58","network_6","network_9",0.424311761288727,0.301812311576801,0.570035272354297,0.268222960777496
"59","network_6","network_10",0.409636029107103,0.191956689933635,0.55436394445231,0.362407254518675
"60","network_6","network_11",0.459438938846003,0.29974285464376,0.612920452192492,0.313177597548732
"61","network_6","network_12",0.390415442530019,0.330559695713609,0.559838049511977,0.229278353798367
"62","network_6","network_13",0.482509000101187,0.21091354663596,0.630621148690071,0.419707602054112
"63","network_6","network_14",0.512089863424304,0.156995537126539,0.632835705025326,0.475840167898788
"64","network_7","network_8",0.270437793467269,0.311599054341045,0.437769742033479,0.126170687692434
"65","network_7","network_9",0.431133261364832,0.304984759446376,0.559274288429768,0.254289528983392
"66","network_7","network_10",0.402607226901137,0.269754626851911,0.544407769811932,0.274653142960021
"67","network_7","network_11",0.431586093855713,0.363077094579019,0.593207506079117,0.230130411500098
"68","network_7","network_12",0.376234545858723,0.35402829171316,0.592431987078306,0.238403695365146
"69","network_7","network_13",0.493254858358326,0.231049060186649,0.594588404511643,0.363539344324994
"70","network_7","network_14",0.483401944833756,0.30536079233835,0.600243555383575,0.294882763045224
"71","network_8","network_9",0.390122400627156,0.379849871651118,0.5508800703081,0.171030198656982
"72","network_8","network_10",0.383423452499136,0.382306020078159,0.577622650466621,0.195316630388461
"73","network_8","network_11",0.44671895904426,0.345540176398236,0.583682287601696,0.23814211120346
"74","network_8","network_12",0.393943342746604,0.400389944842508,0.586612495893939,0.186222551051431
"75","network_8","network_13",0.497013755562832,0.254713618549392,0.579482495533975,0.324768876984583
"76","network_8","network_14",0.470949791213745,0.334873415410025,0.587812408082364,0.252938992672339
"77","network_9","network_10",0.271846866148354,0.220531259426318,0.402348531616683,0.181817272190365
"78","network_9","network_11",0.420970197525777,0.29241520899672,0.562846647066596,0.270431438069876
"79","network_9","network_12",0.428951038477182,0.319174255898728,0.564076491907165,0.244902236008437
"80","network_9","network_13",0.440829481682997,0.268920038137298,0.57288474270683,0.303964704569532
"81","network_9","network_14",0.415832905650757,0.277258872223978,0.55741383715885,0.280154964934872
"82","network_10","network_11",0.444089300300895,0.336078013140794,0.583682287601696,0.247604274460902
"83","network_10","network_12",0.38719717047718,0.438843812358557,0.602365840906665,0.163522028548108
"84","network_10","network_13",0.43066742800963,0.334458352673989,0.560998570719043,0.226540218045054
"85","network_10","network_14",0.380066822974992,0.325493266361201,0.542508670790864,0.217015404429663
"86","network_11","network_12",0.270894506768726,0.258595799758468,0.396883869310561,0.138288069552093
"87","network_11","network_13",0.431574687017395,0.398625533204922,0.607165714675214,0.208540181470292
"88","network_11","network_14",0.433625601991417,0.315182346935186,0.578093893210174,0.262911546274988
"89","network_12","network_13",0.388007930534883,0.299498607183057,0.550057698295538,0.250559091112481
"90","network_12","network_14",0.439817737541004,0.264056068784741,0.547441657689158,0.283385588904417
"91","network_13","network_14",0.328494060830402,0.18590549966112,0.405531723052896,0.219626223391775
