"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.712871287128713,0.722222222222222,0.84,0.117777777777778
"2","network_1","network_3",0.89247311827957,0.625,0.946428571428571,0.321428571428571
"3","network_1","network_4",0.870967741935484,0.684210526315789,0.947368421052632,0.263157894736842
"4","network_1","network_5",0.934782608695652,0.666666666666667,0.985294117647059,0.318627450980392
"5","network_1","network_6",0.923913043478261,0.833333333333333,0.991304347826087,0.157971014492754
"6","network_1","network_7",0.92,0.8,0.992307692307692,0.192307692307692
"7","network_1","network_8",0.921052631578947,0.857142857142857,0.993464052287582,0.136321195144725
"8","network_1","network_9",0.926315789473684,0.75,0.992248062015504,0.242248062015504
"9","network_1","network_10",0.936363636363636,0.6,0.986928104575163,0.386928104575163
"10","network_1","network_11",0.945054945054945,0.6,0.983870967741935,0.383870967741936
"11","network_1","network_12",0.919191919191919,0.7,0.978102189781022,0.278102189781022
"12","network_1","network_13",0.965909090909091,1,1,0
"13","network_1","network_14",0.957446808510638,1,1,0
"14","network_2","network_3",0.89,0.666666666666667,0.943089430894309,0.276422764227642
"15","network_2","network_4",0.9,0.666666666666667,0.952,0.285333333333333
"16","network_2","network_5",0.919191919191919,0.75,0.986394557823129,0.236394557823129
"17","network_2","network_6",0.919191919191919,0.857142857142857,0.992063492063492,0.134920634920635
"18","network_2","network_7",0.925233644859813,0.857142857142857,0.99290780141844,0.135764944275582
"19","network_2","network_8",0.917355371900826,0.888888888888889,0.99390243902439,0.105013550135501
"20","network_2","network_9",0.931372549019608,0.75,0.992857142857143,0.242857142857143
"21","network_2","network_10",0.923076923076923,0.75,0.98780487804878,0.23780487804878
"22","network_2","network_11",0.948979591836735,0.6,0.985185185185185,0.385185185185185
"23","network_2","network_12",0.905660377358491,0.75,0.97972972972973,0.22972972972973
"24","network_2","network_13",0.968421052631579,1,1,0
"25","network_2","network_14",0.96039603960396,1,1,0
"26","network_3","network_4",0.706521739130435,0.714285714285714,0.821428571428571,0.107142857142857
"27","network_3","network_5",0.835164835164835,0.8,0.955223880597015,0.155223880597015
"28","network_3","network_6",0.835164835164835,0.769230769230769,0.946902654867257,0.177671885636488
"29","network_3","network_7",0.858585858585859,0.791666666666667,0.9609375,0.169270833333333
"30","network_3","network_8",0.849557522123894,0.78125,0.95364238410596,0.17239238410596
"31","network_3","network_9",0.872340425531915,0.818181818181818,0.968503937007874,0.150322118826056
"32","network_3","network_10",0.880733944954128,0.75,0.966887417218543,0.216887417218543
"33","network_3","network_11",0.888888888888889,0.666666666666667,0.959016393442623,0.292349726775956
"34","network_3","network_12",0.826530612244898,0.787878787878788,0.948148148148148,0.16026936026936
"35","network_3","network_13",0.908045977011494,0.857142857142857,0.990825688073395,0.133682830930537
"36","network_3","network_14",0.89247311827957,0.875,0.991071428571429,0.116071428571429
"37","network_4","network_5",0.868131868131868,0.761904761904762,0.963235294117647,0.201330532212885
"38","network_4","network_6",0.868131868131868,0.764705882352941,0.965217391304348,0.200511508951407
"39","network_4","network_7",0.858585858585859,0.75,0.961538461538462,0.211538461538462
"40","network_4","network_8",0.858407079646018,0.791666666666667,0.967320261437909,0.175653594771242
"41","network_4","network_9",0.893617021276596,0.764705882352941,0.968992248062015,0.204286365709074
"42","network_4","network_10",0.899082568807339,0.666666666666667,0.967320261437909,0.300653594771242
"43","network_4","network_11",0.911111111111111,0.727272727272727,0.975806451612903,0.248533724340176
"44","network_4","network_12",0.86734693877551,0.7,0.956204379562044,0.256204379562044
"45","network_4","network_13",0.931034482758621,0.666666666666667,0.990990990990991,0.324324324324324
"46","network_4","network_14",0.903225806451613,0.857142857142857,0.991228070175439,0.134085213032581
"47","network_5","network_6",0.688888888888889,0.695652173913043,0.795620437956204,0.0999682640431609
"48","network_5","network_7",0.76530612244898,0.808510638297872,0.940789473684211,0.132278835386338
"49","network_5","network_8",0.785714285714286,0.763636363636364,0.925714285714286,0.162077922077922
"50","network_5","network_9",0.817204301075269,0.75,0.920529801324503,0.170529801324503
"51","network_5","network_10",0.787037037037037,0.770833333333333,0.937142857142857,0.166309523809524
"52","network_5","network_11",0.842696629213483,0.838709677419355,0.965753424657534,0.127043747238179
"53","network_5","network_12",0.783505154639175,0.777777777777778,0.924528301886792,0.146750524109015
"54","network_5","network_13",0.837209302325581,0.611111111111111,0.947368421052632,0.33625730994152
"55","network_5","network_14",0.858695652173913,0.7,0.955882352941177,0.255882352941177
"56","network_6","network_7",0.775510204081633,0.72972972972973,0.923664122137405,0.193934392407675
"57","network_6","network_8",0.794642857142857,0.75609756097561,0.935064935064935,0.178967374089325
"58","network_6","network_9",0.806451612903226,0.717948717948718,0.915384615384615,0.197435897435897
"59","network_6","network_10",0.805555555555556,0.666666666666667,0.922077922077922,0.255411255411255
"60","network_6","network_11",0.831460674157303,0.740740740740741,0.944,0.203259259259259
"61","network_6","network_12",0.783505154639175,0.739130434782609,0.91304347826087,0.173913043478261
"62","network_6","network_13",0.848837209302326,0.666666666666667,0.955357142857143,0.288690476190476
"63","network_6","network_14",0.869565217391304,0.615384615384615,0.956521739130435,0.341137123745819
"64","network_7","network_8",0.7,0.72972972972973,0.822485207100592,0.092755477370862
"65","network_7","network_9",0.811881188118812,0.72,0.903448275862069,0.183448275862069
"66","network_7","network_10",0.793103448275862,0.696428571428571,0.899408284023669,0.202979712595097
"67","network_7","network_11",0.814432989690722,0.761904761904762,0.928571428571429,0.166666666666667
"68","network_7","network_12",0.771428571428571,0.755555555555556,0.928104575163399,0.172549019607843
"69","network_7","network_13",0.861702127659574,0.666666666666667,0.937007874015748,0.270341207349081
"70","network_7","network_14",0.85,0.724137931034483,0.938461538461538,0.214323607427056
"71","network_8","network_9",0.791304347826087,0.774647887323944,0.904761904761905,0.130114017437961
"72","network_8","network_10",0.776923076923077,0.786666666666667,0.916666666666667,0.13
"73","network_8","network_11",0.837837837837838,0.75,0.932515337423313,0.182515337423313
"74","network_8","network_12",0.789915966386555,0.790322580645161,0.926136363636364,0.135813782991202
"75","network_8","network_13",0.87962962962963,0.692307692307692,0.946666666666667,0.254358974358974
"76","network_8","network_14",0.850877192982456,0.741935483870968,0.947712418300654,0.205776934429686
"77","network_9","network_10",0.702702702702703,0.663366336633663,0.797619047619048,0.134252710985384
"78","network_9","network_11",0.804347826086957,0.711111111111111,0.906474820143885,0.195363709032774
"79","network_9","network_12",0.81,0.730769230769231,0.907894736842105,0.177125506072874
"80","network_9","network_13",0.820224719101124,0.696969696969697,0.920634920634921,0.223665223665224
"81","network_9","network_14",0.8,0.7,0.906976744186047,0.206976744186047
"82","network_10","network_11",0.831775700934579,0.744186046511628,0.932515337423313,0.188329290911685
"83","network_10","network_12",0.782608695652174,0.82258064516129,0.9375,0.11491935483871
"84","network_10","network_13",0.826923076923077,0.761904761904762,0.933333333333333,0.171428571428571
"85","network_10","network_14",0.781818181818182,0.74,0.915032679738562,0.175032679738562
"86","network_11","network_12",0.697916666666667,0.686868686868687,0.789115646258503,0.102246959389817
"87","network_11","network_13",0.811764705882353,0.787878787878788,0.942148760330578,0.154269972451791
"88","network_11","network_14",0.813186813186813,0.72972972972973,0.919354838709677,0.189625108979948
"89","network_12","network_13",0.78494623655914,0.720930232558139,0.91044776119403,0.18951752863589
"90","network_12","network_14",0.818181818181818,0.69047619047619,0.905109489051095,0.214633298574904
"91","network_13","network_14",0.738636363636364,0.634920634920635,0.792792792792793,0.157872157872158
