From,To,Distance
TenerifeTeno_2,Fuerteventura_2,337100.0413
TenerifeTeno_2,Fuerteventura_1,337167.3216
Gomera_1,WesternSahara_2,390018.2084
Gomera_1,WesternSahara_1,390021.0886
Gomera_1,Hierro_2,80155.97026
Gomera_1,Hierro_1,80115.5239
Gomera_1,GranCanaria_2,200252.1231
Gomera_1,GranCanaria_1,200279.0495
Gomera_1,Gomera_2,70.701802
Gomera_1,TenerifeSouth_2,93016.48528
Gomera_1,TenerifeSouth_1,92943.79946
Gomera_1,TenerifeTeno_2,52633.94478
Gomera_1,TenerifeTeno_1,52803.77965
Gomera_1,Fuerteventura_2,376842.1066
Gomera_1,Fuerteventura_1,376908.7486
Gomera_2,WesternSahara_2,389996.6073
Gomera_2,WesternSahara_1,389999.5747
Gomera_2,Hierro_2,80109.96825
Gomera_2,Hierro_1,80069.46551
Gomera_2,GranCanaria_2,200269.4864
Gomera_2,GranCanaria_1,200296.3813
Gomera_2,Gomera_1,70.701802
Gomera_2,TenerifeSouth_2,93055.34728
Gomera_2,TenerifeSouth_1,92982.62174
Gomera_2,TenerifeTeno_2,52699.21787
Gomera_2,TenerifeTeno_1,52869.02752
Gomera_2,Fuerteventura_2,376876.5125
Gomera_2,Fuerteventura_1,376943.1528
Hierro_1,WesternSahara_2,437285.0066
Hierro_1,WesternSahara_1,437366.7753
Hierro_1,Hierro_2,93.399466
Hierro_1,GranCanaria_2,274306.3841
Hierro_1,GranCanaria_1,274321.0892
Hierro_1,Gomera_2,80069.46551
Hierro_1,Gomera_1,80115.5239
Hierro_1,TenerifeSouth_2,172778.5189
Hierro_1,TenerifeSouth_1,172702.2428
Hierro_1,TenerifeTeno_2,129313.8797
Hierro_1,TenerifeTeno_1,129490.6054
Hierro_1,Fuerteventura_2,455616.6148
Hierro_1,Fuerteventura_1,455682.8693
Hierro_2,WesternSahara_2,437375.2712
Hierro_2,WesternSahara_1,437457.0124
Hierro_2,Hierro_1,93.399466
Hierro_2,GranCanaria_2,274371.9913
Hierro_2,GranCanaria_1,274386.7194
Hierro_2,Gomera_2,80109.96825
Hierro_2,Gomera_1,80155.97026
Hierro_2,TenerifeSouth_2,172824.6395
Hierro_2,TenerifeSouth_1,172748.3908
Hierro_2,TenerifeTeno_2,129338.2219
Hierro_2,TenerifeTeno_1,129514.9474
Hierro_2,Fuerteventura_2,455670.4165
Hierro_2,Fuerteventura_1,455736.6729
