,Avg NDC,Avg JSD
WesternSahara1,0.29,0.65
WesternSahara2,0.44,0.65
TenerifeTeno1,0.66,0.61
TenerifeTeno2,0.67,0.62
TenerifeSouth1,0.63,0.59
TenerifeSouth2,0.51,0.59
Gomera1,0.71,0.59
Gomera2,0.70,0.59
Hierro1,0.66,0.58
Hierro2,0.62,0.60
GranCanaria1,0.66,0.59
GranCanaria2,0.68,0.57
Fuerteventura1,0.50,0.63
Fuerteventura2,0.51,0.61
