0 257
6 261
10 249
10 258
10 265
10 257
15 271
20 256
20 258
20 286
20 262
24 258
33 249
33 286
39 257
44 258
52 256
52 257
52 258
52 261
52 262
52 265
52 274
52 279
52 286
61 258
69 279
70 279
71 256
71 279
90 265
95 249
96 265
96 258
97 258
100 265
100 286
110 279
114 285
117 249
123 249
125 265
127 257
130 258
130 279
142 271
145 261
145 279
146 258
147 258
147 285
147 279
152 249
152 286
152 265
155 271
159 249
160 257
164 249
173 258
176 286
177 257
177 258
177 262
177 265
177 279
177 249
180 258
187 249
195 279
198 279
201 279
203 258
203 279
207 257
213 258
214 249
226 249
226 261
226 286
226 271
234 256
234 257
234 262
234 249
234 285
234 286
235 249
235 260
235 286
235 262
235 265
236 249
239 265
240 249
244 265
