0 256
4 268
10 257
10 258
15 274
16 268
20 258
20 268
20 282
22 279
33 265
47 257
52 256
52 257
52 258
52 261
52 265
52 268
52 271
52 274
52 279
52 282
52 286
52 255
58 257
58 265
71 279
90 257
96 258
103 265
105 265
125 257
125 265
125 268
125 279
125 285
125 286
130 279
133 258
136 258
147 279
152 286
159 249
172 279
173 258
177 261
177 286
178 256
186 249
186 286
195 279
198 279
201 249
209 268
212 268
213 258
213 279
226 257
226 261
226 262
226 265
226 268
226 274
226 282
226 285
226 286
234 249
234 258
234 285
234 262
234 257
235 262
244 265
